--------------------------------------------------------------------------------
Marvellous Infosystem Process Logger : Sun Nov 20 22:18:07 2022 
--------------------------------------------------------------------------------
{'name': 'DellSupportAssistRemedationService.exe', 'pid': 15572, 'username': None, 'vms': 94.25390625}
{'name': 'svchost.exe', 'pid': 15604, 'username': None, 'vms': 11.24609375}
{'name': 'svchost.exe', 'pid': 15648, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 5.32421875}
{'name': 'svchost.exe', 'pid': 15704, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 3.31640625}
{'name': 'chrome.exe', 'pid': 15836, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 8.1015625}
{'name': 'svchost.exe', 'pid': 15916, 'username': None, 'vms': 3.7265625}
{'name': 'conhost.exe', 'pid': 16260, 'username': None, 'vms': 5.68359375}
{'name': 'dllhost.exe', 'pid': 16304, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 2.82421875}
{'name': 'PhoneExperienceHost.exe', 'pid': 16668, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 76.21875}
{'name': 'chrome.exe', 'pid': 16736, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 8.90625}
{'name': 'sihost.exe', 'pid': 16800, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 7.4296875}
{'name': 'WUDFHost.exe', 'pid': 17036, 'username': None, 'vms': 1.765625}
{'name': 'Code.exe', 'pid': 17072, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 27.74609375}
{'name': 'RtkAudUService64.exe', 'pid': 17148, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 4.01171875}
{'name': 'cmd.exe', 'pid': 17184, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 3.48828125}
{'name': 'python3.10.exe', 'pid': 17340, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 22.98046875}
{'name': 'ApplicationFrameHost.exe', 'pid': 17508, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 26.515625}
{'name': 'Dell.DCF.UA.Bradbury.API.SubAgent.exe', 'pid': 17624, 'username': None, 'vms': 53.66796875}
{'name': 'Dell.TechHub.exe', 'pid': 17628, 'username': None, 'vms': 40.5234375}
{'name': 'Dell.TechHub.Instrumentation.UserSessionAgent.exe', 'pid': 17640, 'username': None, 'vms': 39.125}
{'name': 'conhost.exe', 'pid': 17988, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 1.27734375}
{'name': 'msedgewebview2.exe', 'pid': 18072, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 38.6015625}
{'name': 'chrome.exe', 'pid': 18144, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 24.859375}
{'name': 'Dell.TechHub.DataManager.SubAgent.exe', 'pid': 18228, 'username': None, 'vms': 65.7265625}
{'name': 'explorer.exe', 'pid': 18484, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 246.078125}
{'name': 'RuntimeBroker.exe', 'pid': 18684, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 7.36328125}
{'name': 'svchost.exe', 'pid': 18716, 'username': None, 'vms': 2.86328125}
{'name': 'OneDrive.exe', 'pid': 18744, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 18.01953125}
{'name': 'svchost.exe', 'pid': 18768, 'username': None, 'vms': 1.66015625}
{'name': 'RuntimeBroker.exe', 'pid': 18900, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 5.27734375}
{'name': 'svchost.exe', 'pid': 19084, 'username': None, 'vms': 5.67578125}
{'name': 'winlogon.exe', 'pid': 19704, 'username': None, 'vms': 2.56640625}
{'name': 'RuntimeBroker.exe', 'pid': 19752, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 10.9765625}
{'name': 'conhost.exe', 'pid': 19792, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 5.32421875}
{'name': 'svchost.exe', 'pid': 19896, 'username': None, 'vms': 2.16015625}
{'name': 'svchost.exe', 'pid': 19908, 'username': None, 'vms': 2.49609375}
{'name': 'Code.exe', 'pid': 20032, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 57.57421875}
{'name': 'msedgewebview2.exe', 'pid': 20112, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 8.0859375}
{'name': 'DellMobileConnect.exe', 'pid': 20128, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 29.17578125}
{'name': 'svchost.exe', 'pid': 20220, 'username': None, 'vms': 6.50390625}
{'name': 'msedgewebview2.exe', 'pid': 20256, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 119.31640625}
{'name': 'msedgewebview2.exe', 'pid': 20424, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 2.05859375}
{'name': 'svchost.exe', 'pid': 20460, 'username': None, 'vms': 1.5}
{'name': 'python3.10.exe', 'pid': 20616, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 11.375}
{'name': 'dptf_helper.exe', 'pid': 20708, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 1.453125}
{'name': 'LockApp.exe', 'pid': 20780, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 23.375}
{'name': 'ShellExperienceHost.exe', 'pid': 20840, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 51.8671875}
{'name': 'chrome.exe', 'pid': 21048, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 449.5703125}
{'name': 'taskhostw.exe', 'pid': 21092, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 6.60546875}
{'name': 'browserhost.exe', 'pid': 21180, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 5.2109375}
{'name': 'svchost.exe', 'pid': 21228, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 9.3046875}
{'name': 'Video.UI.exe', 'pid': 21432, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 26.67578125}
